"Adresse","Occurrences","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Indexabilité","Statut d'indexabilité"
"https://www.wienerschnitzel.com/food/hot-dogs/chicago-veggie-dog/","1","Chicago Veggie Dog - Wienerschnitzel","36","338","Indexable",""
"https://www.wienerschnitzel.com/food/hot-dogs/bbq-bacon-dog/","1","BBQ Bacon Dog - Wienerschnitzel","31","297","Indexable",""
"https://www.wienerschnitzel.com/food/hot-dogs/junkyard-dog/","1","Junkyard Dog - Wienerschnitzel","30","280","Indexable",""
"https://www.wienerschnitzel.com/food/hot-dogs/chili-dog/","1","Chili Dog - Wienerschnitzel","27","238","Indexable",""
"https://www.wienerschnitzel.com/food/hot-dogs/corn-dog/","1","Corn Dog - Wienerschnitzel","26","241","Indexable",""
"https://www.wienerschnitzel.com/food/hot-dogs/kraut-dog/","1","Kraut Dog - Wienerschnitzel","27","248","Indexable",""
"https://www.wienerschnitzel.com/food/hot-dogs/mini-corn-dogs/","1","Mini Corn Dogs - Wienerschnitzel","32","294","Indexable",""
"https://www.wienerschnitzel.com/food/hot-dogs/chicago-dog/","1","Chicago Dog - Wienerschnitzel","29","271","Indexable",""
"https://www.wienerschnitzel.com/location-results/california/","1","Hot Dog Restaurant Locations in California - Wienerschnitzel","60","538","Indexable",""
"https://www.wienerschnitzel.com/location-results/southern-california/","1","Hot Dog Restaurant Locations in Southern California - Wienerschnitzel","69","624","Indexable",""
"https://www.wienerschnitzel.com/food/crowd-pleaser-deals/two-junkyard-dogs-combo-meal/","1","Two Junkyard Dogs Combo - Wienerschnitzel","41","402","Indexable",""
"https://www.wienerschnitzel.com/food/crowd-pleaser-deals/3-chili-dogs-3-corn-dogs-and-3-small-fries-crowd-pleaser-deal/","1","#13 Crowd Pleaser: 3 Chili Dogs, 3 Corn Dogs, & 3 Small Fries - Wienerschnitzel","79","702","Indexable",""
"https://www.wienerschnitzel.com/food/crowd-pleaser-deals/one-chili-cheeseburger-combo-meal/","1","One Chili Cheeseburger Combo - Wienerschnitzel","46","438","Indexable",""
"https://www.wienerschnitzel.com/food/crowd-pleaser-deals/one-deluxe-cheeseburger-combo-meal/","1","One Deluxe Cheeseburger Combo - Wienerschnitzel","47","460","Indexable",""
"https://www.wienerschnitzel.com/food/crowd-pleaser-deals/two-chili-dogs-combo-meal/","1","Two Chili Dogs Combo - Wienerschnitzel","38","360","Indexable",""
