"Adresse","Occurrences","H1-1","Longueur du H1-1","H1-2","Longueur du H1-2","Indexabilité","Statut d'indexabilité"
"https://www.wienerschnitzel.com/food/crowd-pleaser-deals/two-junkyard-dogs-combo-meal/","1","#7 Combo: Two Junkyard Dogs","27","","0","Indexable",""
"https://www.wienerschnitzel.com/food/crowd-pleaser-deals/3-chili-dogs-3-corn-dogs-and-3-small-fries-crowd-pleaser-deal/","1","#13 Crowd Pleaser: 3 Chili Dogs, 3 Corn Dogs, & 3 Small Fries","61","","0","Indexable",""
"https://www.wienerschnitzel.com/food/crowd-pleaser-deals/one-chili-cheeseburger-combo-meal/","1","#9 Combo: One Chili Cheeseburger","32","","0","Indexable",""
"https://www.wienerschnitzel.com/food/crowd-pleaser-deals/one-deluxe-cheeseburger-combo-meal/","1","#10 Combo: One Deluxe Cheeseburger","34","","0","Indexable",""
"https://www.wienerschnitzel.com/food/crowd-pleaser-deals/two-chili-dogs-combo-meal/","1","#3 Combo: Two Chili Dogs","24","","0","Indexable",""
"https://www.wienerschnitzel.com/food/crowd-pleaser-deals/6-chili-dogs-and-3-medium-fries-crowd-pleaser-deal/","1","#14 Crowd Pleaser: 6 Chili Dogs & 3 Medium Fries","48","","0","Indexable",""
"https://www.wienerschnitzel.com/food/crowd-pleaser-deals/polish-sandwich-combo-meal/","1","#11 Combo: Polish Sandwich","26","","0","Indexable",""
"https://www.wienerschnitzel.com/food/crowd-pleaser-deals/two-mustard-dogs-combo-meal/","1","#4 Combo: Two Mustard Dogs","26","","0","Indexable",""
"https://www.wienerschnitzel.com/food/crowd-pleaser-deals/two-chicago-dogs-combo-meal/","1","#6 Combo: Two Chicago Dogs","26","","0","Indexable",""
"https://www.wienerschnitzel.com/food/crowd-pleaser-deals/two-chili-cheese-dogs-combo-meal/","1","#1 Combo: Two Chili Cheese Dogs","31","","0","Indexable",""
"https://www.wienerschnitzel.com/food/crowd-pleaser-deals/4-corn-dogs-4-chili-dogs-4-chili-cheese-fries-crowd-pleaser-deal/","1","#15 Crowd Pleaser: 4 Chili Dogs, 4 Corn Dogs, & 4 Chili Cheese Fries","68","","0","Indexable",""
"https://www.wienerschnitzel.com/food/crowd-pleaser-deals/chicken-tender-two-piece-combo-meal/","1","#12 Combo: Chicken Tenders 2 Piece","34","","0","Indexable",""
"https://www.wienerschnitzel.com/food/crowd-pleaser-deals/two-corn-dogs-combo-meal/","1","#2 Combo: Two Corn Dogs","23","","0","Indexable",""
"https://www.wienerschnitzel.com/food/crowd-pleaser-deals/two-kraut-dogs-combo-meal/","1","#5 Combo: Two Kraut Dogs","24","","0","Indexable",""
"https://www.wienerschnitzel.com/food/crowd-pleaser-deals/two-bbq-bacon-dogs-combo-meal/","1","#8 Combo: Two BBQ Bacon Dogs","28","","0","Indexable",""
"https://www.wienerschnitzel.com/food/fries-snacks/jalapeno-poppers/","1","Jalapeño Poppers","16","","0","Indexable",""
"https://www.wienerschnitzel.com/food/fries-snacks/chicken-tenders-two-piece/","1","Chicken Tenders 2 Piece","23","","0","Indexable",""
"https://www.wienerschnitzel.com/food/fries-snacks/chili-cheese-fries-burrito/","1","Chili Cheese Fries Burrito","26","","0","Indexable",""
"https://www.wienerschnitzel.com/food/fries-snacks/chili-cheese-fries/","1","Classic Chili Cheese Fries","26","","0","Indexable",""
"https://www.wienerschnitzel.com/food/fries-snacks/french-fries/","1","French Fries","12","","0","Indexable",""
"https://www.wienerschnitzel.com/location-results/","0","","0","","0","Indexable",""
"https://www.wienerschnitzel.com/location/181-mchenry-grant-modesto-204-mchenry-modesto-ca-95354/","1","Wienerschnitzel mchenry grant Modesto","37","","0","Indexable",""
"https://www.wienerschnitzel.com/location/521-menaul-eubank-albuquerque-9651-menaul-blvd-ne-albuquerque-nm-87112/","1","Wienerschnitzel menaul eubank Albuquerque","41","","0","Indexable",""
"https://www.wienerschnitzel.com/location/464-sunrise-madden-roseville-898-sunrise-avenue-roseville-ca-95661/","1","Wienerschnitzel sunrise madden Roseville","40","","0","Indexable",""
"https://www.wienerschnitzel.com/location/1-pacific-coast-hwy-n-gulf-ave-wilmington-900-w-pacific-coast-hwy-wilmington-ca-90744/","1","Wienerschnitzel Pacific Coast Hwy N Gulf Ave Wilmington","55","","0","Indexable",""
"https://www.wienerschnitzel.com/food/drinks/sprite/","1","Sprite®","7","","0","Indexable",""
"https://www.wienerschnitzel.com/location/768-apple-valley-pimlico-apple-valley-12218-apple-valley-road-bld-3-suite-a-apple-valley-ca-92308/","1","Wienerschnitzel Apple Valley & Pimlico in Apple Valley","54","","0","Indexable",""
"https://www.wienerschnitzel.com/location/43-east-imperial-duncan-south-gate-5141-east-imperial-hwy-south-gate-ca-90280/","1","Wienerschnitzel East Imperial & Duncan in South Gate","52","","0","Indexable",""
"https://www.wienerschnitzel.com/location/146-north-turner-west-lano-hobbs-1321-north-turner-hobbs-nm-88240/","1","Wienerschnitzel north turner west lano Hobbs","44","","0","Indexable",""
"https://www.wienerschnitzel.com/location/316-north-azusa-west-grondahl-covina-1212-n-azusa-avenue-covina-ca-91722/","1","Wienerschnitzel North Azusa and West Grondahl in Covina","55","","0","Indexable",""
"https://www.wienerschnitzel.com/location/363-nordhoff-darby-northridge-18420-nordhoff-northridge-ca-91325/","1","Wienerschnitzel Nordhoff Street and Darby Ave in Northridge","59","","0","Indexable",""
"https://www.wienerschnitzel.com/location-results/texas/","1","Wienerschnitzel Locations in Texas","34","","0","Indexable",""
"https://www.wienerschnitzel.com/location/587-yucaipa-2nd-yucaipa-34852-yucaipa-blvd-yucaipa-ca-92399/","1","Wienerschnitzel Yucaipa & 2nd in Yucaipa","40","","0","Indexable",""
"https://www.wienerschnitzel.com/food/drinks/coca-cola-zero-sugar/","1","Coca-Cola® Zero Sugar","21","","0","Indexable",""
"https://www.wienerschnitzel.com/location/192-western-olsen-amarillo-2801-s-western-street-amarillo-tx-79109/","1","Wienerschnitzel Western & Olsen in Amarillo","43","","0","Indexable",""
"https://www.wienerschnitzel.com/location/317-stockton-mcmahon-sacramento-5980-stockton-blvd-sacramento-ca-95824/","1","Wienerschnitzel Stockton Blvd in Sacramento","43","","0","Indexable",""
"https://www.wienerschnitzel.com/location/16-rosecrans-anderson-paramount-8201-east-rosecrans-paramount-ca-90723/","1","Wienerschnitzel Rosecrans Anderson Paramount","44","","0","Indexable",""
"https://www.wienerschnitzel.com/location/brentwood-dr-whitehouse-dr-in-lufkin-tx/","1","Wienerschnitzel Brentwood Dr & Whitehouse Dr in Lufkin TX","57","","0","Indexable",""
"https://www.wienerschnitzel.com/location/788-collier-central-lake-elsinore-18284-collier-avenue-200-lake-elsinore-ca-92530/","1","Wienerschnitzel Collier & Central in Lake Elsinore","50","","0","Indexable",""
"https://www.wienerschnitzel.com/location/396-ross-east-15th-amarillo-1507-ross-amarillo-tx-79102/","1","Wienerschnitzel Ross St. & East 15th Ave in Amarillo","52","","0","Indexable",""
"https://www.wienerschnitzel.com/location/729-university-78th-lubbock-7615-b-university-avenue-lubbock-tx-79423/","1","Wienerschnitzel university 78th Lubbock","39","","0","Indexable",""
"https://www.wienerschnitzel.com/location/472-east-hatch-richland-modesto-1620-east-hatch-road-modesto-ca-95351/","1","Wienerschnitzel East Hatch & Richland in Modesto","48","","0","Indexable",""
"https://www.wienerschnitzel.com/location/156-story-mcguiness-san-jose-2844-story-road-san-jose-ca-95127/","1","Wienerschnitzel Story Mcguiness San Jose","40","","0","Indexable",""
"https://www.wienerschnitzel.com/location/718-north-rancho-west-cheyenne-las-vegas-3201-north-rancho-drive-las-vegas-nv-89108/","1","Wienerschnitzel north rancho west cheyenne Las Vegas","52","","0","Indexable",""
"https://www.wienerschnitzel.com/location/170-south-bascom-fewtrell-campbell-1940-s-bascom-blvd-campbell-ca-95008/","1","Wienerschnitzel south bascom fewtrell Campbell","46","","0","Indexable",""
