"Adresse","Type de contenu","Taille (octets)","Liens entrants IMG","Indexabilité","Statut d'indexabilité","Dimensions"
"https://deltaco.com/images/food/category/burgers-and-fries﹖v=4.057.jpg","image/jpeg","61106","1","Indexable","",""
"https://deltaco.com/images/food/category/breakfast﹖v=4.057.jpg","image/jpeg","41844","1","Indexable","",""
"https://deltaco.com/images/promos/2024/promo6/banner/badge.png","image/png","272929","1","Indexable","",""
"https://deltaco.com/images/food/category/burritos﹖v=4.057.jpg","image/jpeg","51517","1","Indexable","",""
"https://deltaco.com/images/food/category/fresh-guac﹖v=4.057.jpg","image/jpeg","11026","1","Indexable","",""
"https://deltaco.com/images/food/category/jackd-up-menu.jpg","image/jpeg","20554","1","Indexable","",""
"https://deltaco.com/images/promos/2025/promo3/catering/callout-1.jpg","image/jpeg","209313","1","Indexable","",""
"https://deltaco.com/images/promos/2025/promo3/catering/bg-pico.png","image/png","178149","1","Indexable","",""
"https://deltaco.com/images/promos/2025/promo3/catering/callout-2.jpg","image/jpeg","189245","1","Indexable","",""
"https://deltaco.com/images/promos/2025/promo3/catering/bg-tear-bottom.png","image/png","11714","1","Indexable","",""
"https://deltaco.com/images/promos/2025/promo3/catering/callout-3.jpg","image/jpeg","140143","1","Indexable","",""
"https://deltaco.com/images/promos/2025/promo3/catering/bg-tear-top.png","image/png","11575","1","Indexable","",""
"https://deltaco.com/images/promos/2025/promo3/catering/heading.png","image/png","27819","1","Indexable","",""
"https://deltaco.com/images/history/historyimg_1990.png","image/png","173316","1","Indexable","",""
"https://deltaco.com/images/history/historyimg_1980.png","image/png","153223","1","Indexable","",""
"https://deltaco.com/images/history/historyimg_2010-2018.png","image/png","786887","1","Indexable","",""
"https://deltaco.com/images/history/historyimg_1970.png","image/png","226196","1","Indexable","",""
"https://deltaco.com/images/history/historyimg_2000.png","image/png","150126","1","Indexable","",""
"https://deltaco.com/images/history/historyimg_1960.png","image/png","229252","1","Indexable","",""
"https://deltaco.com/files/menu/item/shakes﹖v=4.057.png","image/png","102122","2","Indexable","",""
"https://deltaco.com/images/vegetarian-icon.svg","image/svg+xml","3199","25","Indexable","",""
"https://deltaco.com/files/menu/item/caramelcheesecakebites﹖v=4.057.png","image/png","65501","2","Indexable","",""
"https://deltaco.com/files/menu/item/1-thumb_Mini-churros﹖v=4.057.jpg","image/jpeg","35840","3","Indexable","",""
"https://deltaco.com/files/menu/item/thumb_donut-bites﹖v=4.057.jpg","image/jpeg","41289","2","Indexable","",""
