"Adresse","Occurrences","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Indexabilité","Statut d'indexabilité"
"https://httpbin.org/","1","httpbin.org","11","97","Indexable",""
"https://httpbin.org/forms/post","0","","0","0","Indexable",""
