"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Liens entrants","Temps de réponse","URL de redirection","Type de redirection"
"https://www.rachatdevoiture.com/","text/html; charset=UTF-8","200","OK","Indexable","","52","1,409","",""
"https://www.rachatdevoiture.com/wp-content/plugins/bazz-callback-widget/js/jquery.draggable.min.js","application/javascript","200","OK","Indexable","","0","0,075","",""
"https://www.rachatdevoiture.com/wp-content/themes/flatsome-child/style.css?ver=3.0","text/css","200","OK","Indexable","","0","0,265","",""
"https://www.rachatdevoiture.com/wp-content/plugins/bazz-callback-widget/js/bazz-widget.js","application/javascript","200","OK","Indexable","","0","0,289","",""
"https://www.rachatdevoiture.com/wp-includes/js/hoverIntent.min.js?ver=1.10.2","application/javascript","200","OK","Indexable","","0","0,290","",""
"https://www.rachatdevoiture.com/wp-content/uploads/2026/01/RACHATD.png","image/png","200","OK","Indexable","","0","0,375","",""
"https://www.rachatdevoiture.com/wp-content/themes/flatsome/assets/css/flatsome.css?ver=3.18.6","text/css","200","OK","Indexable","","0","0,282","",""
"https://www.rachatdevoiture.com/accueil/","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé","12","0,289","https://www.rachatdevoiture.com/","Redirection HTTP"
"https://www.rachatdevoiture.com/prendre-rdv/","text/html; charset=UTF-8","200","OK","Indexable","","24","0,397","",""
"https://www.rachatdevoiture.com/wp-content/themes/flatsome/assets/js/flatsome.js?ver=a0a7aee297766598a20e","application/javascript","200","OK","Indexable","","0","0,071","",""
"https://www.rachatdevoiture.com/politique-de-confidentialite/","text/html; charset=UTF-8","200","OK","Indexable","","10","0,409","",""
"https://www.rachatdevoiture.com/wp-content/plugins/google-site-kit/dist/assets/js/googlesitekit-events-provider-wpforms-ed443a3a3d45126a22ce.js","application/javascript","200","OK","Indexable","","0","0,190","",""
"https://www.rachatdevoiture.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1","application/javascript","200","OK","Indexable","","0","0,056","",""
"https://www.googletagmanager.com/gtag/js?id=GT-NFRNGCWZ","application/javascript; charset=UTF-8","200","OK","Indexable","","0","0,230","",""
"https://www.rachatdevoiture.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1","application/javascript","200","OK","Indexable","","0","0,222","",""
"https://www.rachatdevoiture.com/wp-content/themes/flatsome/inc/extensions/flatsome-live-search/flatsome-live-search.js?ver=3.18.6","application/javascript","200","OK","Indexable","","0","0,172","",""
"https://www.rachatdevoiture.com/wp-content/uploads/2026/02/rachatlogoblanc.png","image/png","200","OK","Indexable","","0","0,194","",""
"https://www.rachatdevoiture.com/wp-content/plugins/bazz-callback-widget/css/bazz-widget.css?ver=3.19","text/css","200","OK","Indexable","","0","0,173","",""
"https://www.rachatdevoiture.com/wp-content/plugins/bazz-callback-widget/js/jquery.maskedinput.min.js","application/javascript","200","OK","Indexable","","0","0,188","",""
"https://www.rachatdevoiture.com/contact/","text/html; charset=UTF-8","200","OK","Indexable","","22","0,357","",""
"https://www.rachatdevoiture.com/mentions-legales/","text/html; charset=UTF-8","200","OK","Indexable","","10","0,171","",""
"https://www.rachatdevoiture.com/wp-content/plugins/wpforms/assets/js/frontend/fields/address.min.js?ver=1.9.8.5","application/javascript","200","OK","Indexable","","0","0,195","",""
"https://www.rachatdevoiture.com/wp-content/plugins/wpforms/assets/lib/mailcheck.min.js?ver=1.1.2","application/javascript","200","OK","Indexable","","0","0,194","",""
"https://www.rachatdevoiture.com/wp-content/plugins/wpforms/assets/lib/punycode.min.js?ver=1.0.0","application/javascript","200","OK","Indexable","","0","0,057","",""
"https://www.rachatdevoiture.com/conditions-generales-dutilisation/","text/html; charset=UTF-8","200","OK","Indexable","","10","0,303","",""
"https://www.rachatdevoiture.com/wp-includes/js/underscore.min.js?ver=1.13.7","application/javascript","200","OK","Indexable","","0","0,074","",""
"https://www.rachatdevoiture.com/wp-content/plugins/wpforms/assets/js/share/utils.min.js?ver=1.9.8.5","application/javascript","200","OK","Indexable","","0","0,193","",""
"https://www.rachatdevoiture.com/wp-content/plugins/wpforms/assets/pro/lib/intl-tel-input/intlTelInputWithUtils.min.js?ver=25.11.3","application/javascript","200","OK","Indexable","","0","0,207","",""
"http://welye.com/","text/html; charset=iso-8859-1","301","Moved Permanently","Non indexable","Redirigé","1","0,119","https://welye.com/","Redirection HTTP"
"https://www.rachatdevoiture.com/wp-content/plugins/wpforms/assets/images/submit-spin.svg","image/svg+xml","200","OK","Indexable","","0","0,170","",""
"http://www.generateur-de-mentions-legales.com/","text/html; charset=iso-8859-1","301","Moved Permanently","Non indexable","Redirigé","1","0,131","https://www.generateur-de-mentions-legales.com/","Redirection HTTP"
"https://www.rachatdevoiture.com/wp-content/plugins/wpforms/assets/pro/lib/dropzone.min.js?ver=5.9.3","application/javascript","200","OK","Indexable","","0","0,200","",""
"https://www.rachatdevoiture.com/wp-content/plugins/wpforms/assets/lib/jquery.validate.min.js?ver=1.21.0","application/javascript","200","OK","Indexable","","0","0,177","",""
"https://www.rachatdevoiture.com/wp-content/plugins/wpforms/assets/js/frontend/wpforms-modern.min.js?ver=1.9.8.5","application/javascript","200","OK","Indexable","","0","0,192","",""
"https://www.rachatdevoiture.com/wp-content/plugins/wpforms/assets/pro/css/fields/phone/intl-tel-input.min.css?ver=25.11.3","text/css","200","OK","Indexable","","0","0,242","",""
"https://www.rachatdevoiture.com/wp-content/plugins/wpforms/assets/pro/css/frontend/modern/wpforms-full.min.css?ver=1.9.8.5","text/css","200","OK","Indexable","","0","0,627","",""
"https://www.rachatdevoiture.com/wp-content/plugins/wpforms/assets/pro/js/frontend/fields/file-upload.es5.min.js?ver=1.9.8.5","application/javascript","200","OK","Indexable","","0","0,208","",""
"https://www.rachatdevoiture.com/wp-content/plugins/wpforms/assets/pro/css/dropzone.min.css?ver=5.9.3","text/css","200","OK","Indexable","","0","0,245","",""
"https://www.rachatdevoiture.com/wp-includes/js/wp-util.min.js?ver=6.9.3","application/javascript","200","OK","Indexable","","0","0,207","",""
"https://www.rachatdevoiture.com/wp-content/plugins/wpforms/assets/lib/jquery.inputmask.min.js?ver=5.0.9","application/javascript","200","OK","Indexable","","0","0,232","",""
"https://www.rachatdevoiture.com/wp-content/plugins/wpforms/assets/css/frontend/modern/wpforms-full.min.css?ver=1.9.8.5","text/css","200","OK","Indexable","","0","0,267","",""
"https://www.rachatdevoiture.com/wp-content/plugins/wpforms/assets/js/frontend/wpforms.min.js?ver=1.9.8.5","application/javascript","200","OK","Indexable","","0","0,210","",""
