"Adresse","Type de contenu","Taille (octets)","Liens entrants IMG","Indexabilité","Statut d'indexabilité","Dimensions"
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/gift-150x150.png","image/png","27224","55","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/niche-4-edp-100ml-perfume-reef-perfumes-uk-247x296.webp","image/webp","4382","53","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/niche-2-edp-100ml-perfume-reef-perfumes-uk-247x296.webp","image/webp","4462","61","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/z8ISdzDvqRgM1jXMdLBxQcljx7IxblzFC6N2CnNi-1024x272.webp","image/webp","19750","55","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/gift-150x150.webp","image/webp","4464","55","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/10/REEF_10_IN-247x296.png","image/png","31384","38","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/parf-150x150.png","image/png","23137","55","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2025/05/lom.jpg","image/jpeg","541328","1","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/reef-19-edp-100ml-parfum-classique-247x296.webp","image/webp","3944","56","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/04/REEF_27_IN-1-247x296.png","image/png","33768","59","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/reef-21-edp-100ml-classic-perfume-reef-perfumes-uk-1-247x296.webp","image/webp","4772","54","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/summer-yellow-edp-100ml-perfume-reef-perfumes-uk-1-247x296.webp","image/webp","5618","54","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2025/06/REEF_06_IN-247x296.png","image/png","37960","58","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/hhh-150x150.png","image/png","19458","55","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/avatar-150x150.webp","image/webp","3510","55","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/REEF_31_IN-247x296.png","image/png","43901","109","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/logo-reef-opti-150x150.png","image/png","22826","8","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/niche-1-edp-100ml-perfume-reef-perfumes-uk-247x296.webp","image/webp","4176","56","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2025/05/reeeeeeeefbanner1.jpg","image/jpeg","260551","2","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2025/06/REEF_02_IN-247x296.png","image/png","34469","57","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/caaall-150x150.png","image/png","13605","55","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/reef-33-edp-100ml-parfum-classique-510x510-2-247x296.jpg","image/jpeg","8874","112","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/logo-reef-2.png","image/png","171167","55","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/summer-pink-edp-100ml-perfume-reef-perfumes-uk-1-1-247x296.webp","image/webp","4604","53","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/reeeef-150x150.png","image/png","24135","110","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2025/05/reef-33-blanc-247x296.jpg","image/jpeg","6649","54","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2025/06/REEF_42_IN-247x296.png","image/png","32662","57","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/homee-150x150.png","image/png","22440","55","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2025/05/reefbanner2.jpg","image/jpeg","208859","2","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/arabs-of-obaiah-edp-100ml-perfume-reef-perfumes-uk-1-247x296.webp","image/webp","5580","55","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/arabs-of-diriyah-edp-100ml-perfume-reef-perfumes-uk-1-247x296.webp","image/webp","5136","61","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/arabs-of-tuwaiq-edp-100ml-perfume-reef-perfumes-uk-1-247x296.webp","image/webp","5074","55","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/04/REEF_30_IN-247x296.webp","image/webp","4852","49","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/summer-tiffany-edp-100ml-perfume-reef-perfumes-uk-1-247x296.webp","image/webp","4032","61","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/arabs-of-alula-edp-100ml-perfume-reef-perfumes-uk-1-247x296.webp","image/webp","5292","54","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/REEF_11_IN-247x296.png","image/png","34676","61","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/04/logo-reef-opti2.webp","image/webp","18948","220","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/04/REEF_30_IN-510x510.webp","image/webp","9970","1","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2026/01/ff3593b6-234c-4c9c-a1ed-1da47366ceac-1000x1000-4bwT17p6X9ayvsv9TaYn9oyjERpzVoqDicNXWVEJ-247x296.webp","image/webp","17086","38","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/cartes-cadeaux-2.png","image/png","38053","19","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2026/01/ecf63cbe-4b01-4679-8c78-f129da8545c2-1000x1000-jZfvCtc9fYvWgQ863aAjmhoVngFhpBGAsxkjk4mr-247x296.webp","image/webp","9296","37","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/mini-reef-33-edp-15ml-classic-perfume-reef-perfumes-uk-.png","image/png","47682","56","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2025/12/IMG_5797-2-247x296.jpg","image/jpeg","11513","59","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/04/REEF_30-1.webp","image/webp","5930","0","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2026/01/2e088840-b16c-4e51-a3b2-0f8f0dcb176c-1000x1000-318e6IkIIrlDZtzvpQSVec42wYRdOWvAEd5x0pqt-247x296.webp","image/webp","13184","38","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/04/REEF_30-1-510x510.webp","image/webp","3122","1","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/mini-reef-11-edp-15ml-classic-perfume-reef-perfumes-uk-247x296-_2_-removebg-preview-1.png","image/png","45475","56","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2026/01/92fd3e4e-d3aa-4baf-b8b3-7799311f2f6b-1000x1000-cgnKbWRbS08628dUJ0BmQhqFWRHgywsOV7ctc7Gi-247x296.webp","image/webp","32188","39","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/04/REEF_30-1-247x296.webp","image/webp","1512","1","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/livraison-1.jpg","image/jpeg","46167","68","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2025/06/REEF_36_IN-247x296.png","image/png","34338","22","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/04/REEF_30_IN.webp","image/webp","16260","0","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/REEF_31_IN-100x100.png","image/png","6878","4","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/cartes-cadeaux-2-100x100.png","image/png","7414","2","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/Paiement-Securise-Stripe-1.jpg","image/jpeg","28082","68","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2026/01/1927fd69-4d2f-4b7f-944c-d21bbff948a3-1000x1000-jNRnDPKLHAl8JLzp9iY7DqiHrnkgG7ZDT6pRB1Om-247x296.webp","image/webp","34664","38","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/arabs-of-alula-edp-100ml-perfume-reef-perfumes-uk-3-247x296.webp","image/webp","3078","1","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/arabs-of-alula-edp-100ml-perfume-reef-perfumes-uk-4-510x509.webp","image/webp","3788","1","Indexable","",""
