"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Meta Description 1","Longueur de la Meta Description 1","Largeur en pixels de la Meta Description 1","Meta Keywords 1","Longueur des Meta Keywords 1","H1-1","Longueur du H1-1","H1-2","Longueur du H1-2","H2-1","Longueur du H2-1","H2-2","Longueur du H2-2","Meta Robots 1","Balise X-Robots 1","Meta Refresh 1","Élément de lien en version canonique 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Élément de lien amphtml","Taille (octets)","Transféré (octets)","Total transféré (en octets)","CO2 (mg)","Empreinte carbone","Nombre de mots","Nombre de phrases","Moyenne de mots par phrase","Score de lisibilité de Flesch","Lisibilité","Ratio texte","Crawl profondeur","Profondeur du dossier","Link Score","Liens entrants","Liens entrants uniques","Liens entrants JS uniques","% du total","Liens sortants","Liens sortants uniques","Liens sortants JS uniques","Liens sortants externes","Liens sortants externes uniques","Liens sortants JS externes uniques","Quasi-doublon le plus proche","Nombre de quasi-doublons","Erreurs d'orthographe","Erreurs de grammaire","Hachage","Temps de réponse","Last Modified","URL de redirection","Type de redirection","Cookies","Language","Version HTTP","Lien alternate mobile","Adresse sémantiquement similaire la plus proche","Score de similarité sémantique","Nbre sémantiquement similaires","Score de pertinence sémantique","Adresse codée en URL","Horodatage du crawl"
"https://www.reefperfumes.fr/","text/html; charset=UTF-8","200","OK","Indexable","","Reef Perfumes - Reef Perfumes","29","284","","0","0","","0","","0","","0","Collection Classique","20","Collection Été","14","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.reefperfumes.fr/","","","","","","369753","52471","52471","20,101","","1359","347","3,916","100,000","Très facile","2,216","0","0","","339","56","0","100,000","195","80","0","0","0","0","","","","","d3d7540772a6bfdca4149debd416faf1","0,169","","","","","fr-FR","1.1","","","","","","https://www.reefperfumes.fr/","2026-02-26 12:39:18"
"https://www.reefperfumes.fr/wp-includes/js/dist/url.min.js?ver=9e178c9516d1222dc834","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,415","Wed, 03 Dec 2025 01:27:44 GMT","","","","","1.1","","","","","","https://www.reefperfumes.fr/wp-includes/js/dist/url.min.js?ver=9e178c9516d1222dc834","2026-02-26 12:39:20"
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/gift-150x150.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","27224","27224","27224","10,429","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,423","Thu, 28 Mar 2024 12:12:59 GMT","","","","","1.1","","","","","","https://www.reefperfumes.fr/wp-content/uploads/2024/03/gift-150x150.png","2026-02-26 12:39:20"
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/niche-4-edp-100ml-perfume-reef-perfumes-uk-247x296.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","4382","4382","4382","1,679","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,453","Tue, 26 Mar 2024 05:10:36 GMT","","","","","1.1","","","","","","https://www.reefperfumes.fr/wp-content/uploads/2024/03/niche-4-edp-100ml-perfume-reef-perfumes-uk-247x296.webp","2026-02-26 12:39:20"
"https://www.reefperfumes.fr/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.7.0-wc.9.6.3","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","6","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,456","Tue, 23 Dec 2025 01:26:57 GMT","","","","","1.1","","","","","","https://www.reefperfumes.fr/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.7.0-wc.9.6.3","2026-02-26 12:39:20"
"https://www.reefperfumes.fr/produit/reef-30-edp-100ml-parfum-classique/","text/html; charset=UTF-8","200","OK","Indexable","","REEF 30 EDP 100ml Parfum Classique - Reef Perfumes","50","489","Découvrez Reef n°1 classique 100ml de Reef Perfumes, REEF30 est plus qu'un parfum, c'est une affirmation de soi, un héritage que l'on porte avec fierté.","152","932","","0","REEF 30 EDP 100ml Parfum Classique","34","REEF 30 EDP 100ml Parfum Classique","34","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.reefperfumes.fr/produit/reef-30-edp-100ml-parfum-classique/","","","","","","546471","66561","66561","25,498","","2285","629","3,633","100,000","Très facile","2,441","1","2","","213","37","0","66,070","318","117","0","0","0","0","","","","","5a006ecb72bc964dcf272f5f78891f11","0,276","","","","","fr-FR","1.1","","","","","","https://www.reefperfumes.fr/produit/reef-30-edp-100ml-parfum-classique/","2026-02-26 12:39:20"
"https://www.reefperfumes.fr/wp-content/plugins/woocommerce/assets/js/frontend/order-attribution.min.js?ver=9.6.3","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","6","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,085","Tue, 23 Dec 2025 01:26:57 GMT","","","","","1.1","","","","","","https://www.reefperfumes.fr/wp-content/plugins/woocommerce/assets/js/frontend/order-attribution.min.js?ver=9.6.3","2026-02-26 12:39:21"
"https://www.reefperfumes.fr/categorie-produit/collection-classique/","text/html; charset=UTF-8","200","OK","Indexable","","Archives des Collection classique - 100ml - Reef Perfumes","57","519","","0","0","","0","","0","","0","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.reefperfumes.fr/categorie-produit/collection-classique/","","","","","","248122","47133","47133","18,056","","549","162","3,389","100,000","Très facile","1,572","1","2","","187","56","0","100,000","119","55","0","0","0","0","","","","","f374cea8db35bd56a12cb0bccb0fc320","0,141","","","","","fr-FR","1.1","","","","","","https://www.reefperfumes.fr/categorie-produit/collection-classique/","2026-02-26 12:39:21"
"https://www.reefperfumes.fr/wp-content/plugins/woocommerce/assets/js/prettyPhoto/jquery.prettyPhoto.min.js?ver=3.1.6","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","6","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,257","Tue, 23 Dec 2025 01:26:57 GMT","","","","","1.1","","","","","","https://www.reefperfumes.fr/wp-content/plugins/woocommerce/assets/js/prettyPhoto/jquery.prettyPhoto.min.js?ver=3.1.6","2026-02-26 12:39:21"
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/niche-2-edp-100ml-perfume-reef-perfumes-uk-247x296.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","4462","4462","4462","1,709","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,254","Tue, 26 Mar 2024 05:10:35 GMT","","","","","1.1","","","","","","https://www.reefperfumes.fr/wp-content/uploads/2024/03/niche-2-edp-100ml-perfume-reef-perfumes-uk-247x296.webp","2026-02-26 12:39:21"
