"Adresse","Occurrences","H1-1","Longueur du H1-1","Indexabilité","Statut d'indexabilité"
"https://www.deltaco.com/menu_items&category=quesadillas-nachos.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/faq.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/delyeahtermsandconditions.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/news&item_id=248.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/news&item_id=246.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/news&item_id=254.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/news&item_id=247.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/news&item_id=251.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/news&item_id=243.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/news&item_id=244.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/news&item_id=249.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/news&item_id=252.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/news&item_id=245.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/news&item_id=253.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/news&item_id=242.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/news&item_id=250.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/news&item_id=259.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/news&item_id=260.html","1","Del Taco","8","Indexable",""
"https://www.deltaco.com/checkgiftcardbalance.html","1","Del Taco","8","Non indexable","Canonisé"
