N°;Actif;Question;Statut;Assigné;Outil;Notes;Catégorie;URLs Impactées
47;TRUE;"Est-ce que certains contenus ne sont pas sécurisés?";Réussi;;Screaming Frog;"";Sécurité;0
48;TRUE;"Y'a t-il des redirections 302 internes?";Échoué;;Screaming Frog;"19 URL(s) concernée(s)";Statut HTTP;19
49;TRUE;"Y'a t-il des pages qui retournent un code 403?";Réussi;;Screaming Frog;"";Statut HTTP;0
50;TRUE;"Y'a t-il des pages qui retournent un code 404?";Échoué;;Screaming Frog;"56 URL(s) concernée(s)";Statut HTTP;56
51;TRUE;"Y'a t-il des pages qui retournent un code 500?";Réussi;;Screaming Frog;"";Statut HTTP;0
52;TRUE;"Y'a t-il des pages ne retournant aucune réponse (time-out)?";Réussi;;Screaming Frog;"";Statut HTTP;0
53;TRUE;"Y'a t-il des chaines de redirection?";Réussi;;Screaming Frog;"";Statut HTTP;0
54;TRUE;"Y'a t-il des redirections Meta Refresh utilisées?";Échoué;;Screaming Frog;"6 URL(s) concernée(s)";Statut HTTP;6
55;TRUE;"Est-ce que l'état de l'indexation montre des anomalies?";Réussi;;Google Search Console;"";Google Search Console;0
56;TRUE;"Est-ce que le fichier robots.txt possède des ""Erreurs"" ou ""Avertissements""?";Réussi;;Google Search Console;"";Google Search Console;0
57;TRUE;"Est-ce que le site possède des pages bloquées non intentionnellement par robots.txt?";Réussi;;Google Search Console;"";Google Search Console;0
58;TRUE;"Est-ce que le site possède des ressources non intentionnellement bloquées par robots.txt?";Réussi;;Google Search Console;"";Google Search Console;0
59;TRUE;"Le site rencontre t-il des erreurs d'exploration (Crawl)?";Réussi;;Google Search Console;"";Google Search Console;0
60;TRUE;"Est-ce que le site rencontre des anomalies au niveau statistiques de crawl par GoogleBot?";Réussi;;Google Search Console;"";Google Search Console;0
61;TRUE;"Est-ce que la/les sitemap(s) sont listées dans la Google Search Console?";Réussi;;Google Search Console;"";Google Search Console;0
62;TRUE;"Est-ce que la/les sitemap(s) possèdent des ""Erreurs"" ou ""avertissements""?";Réussi;;Google Search Console;"";Google Search Console;0
63;TRUE;"Y'a t'il des problèmes d'indexation pour ce(s) sous-domaine(s)?";Réussi;;Google Search Console;"";Google Search Console;0
64;TRUE;"Est-ce qu'une propriété Google Search Console par site (donc par pays) a bien été créé?";Réussi;;Google Search Console;"";Google Search Console;0
65;TRUE;"Est-ce qu'un pays cible est défini dans Google Search Console pour chaque site?";Réussi;;Google Search Console;"";Google Search Console;0
66;TRUE;"Est-ce que Google Search Console a détecté des erreurs relatives à la balise Hreflang?";Réussi;;Google Search Console;"";Google Search Console;0
67;TRUE;"Est-ce que le site est configuré dans Google Search Console?";Réussi;;Google Search Console;"";Google Search Console;0
68;TRUE;"Est-ce que le site a reçu une pénalité de type ""Action manuelle"" par la Search Quality Team de Google?";Réussi;;Google Search Console;"";Google Search Console;0
69;TRUE;"Est-ce que le site a des suggestions d'améliorations?";Réussi;;Google Search Console;"";Google Search Console;0
70;TRUE;"Le site possède t-il des problèmes de sécurité?";Réussi;;Google Search Console;"";Google Search Console;0
