"Adresse","Type de contenu","Code HTTP","Statut","Crawl profondeur","Liens entrants"
"http://www.deltacowebstore.com/","text/html","301","Moved Permanently","1","88"
"https://www.youtube.com/user/deltaco","text/html; charset=utf-8","200","OK","1","88"
"https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js","text/javascript; charset=UTF-8","200","OK","1","0"
"https://deltacowebstore.com/","text/html; charset=utf-8","200","OK","1","86"
"https://cdnjs.cloudflare.com/ajax/libs/flexslider/2.5.0/jquery.flexslider-min.js","application/javascript; charset=utf-8","200","OK","1","0"
"https://twitter.com/deltaco","text/html; charset=utf-8","301","Moved Permanently","1","2"
"https://www.tiktok.com/@deltaco?_t=8UyHlzpvhxi&_r=1","text/html; charset=utf-8","200","OK","1","88"
"https://apply.jobappnetwork.com/del-taco/en","text/html; charset=UTF-8","200","OK","1","174"
"https://x.com/deltaco","text/html; charset=utf-8","200","OK","1","86"
"https://www.googletagmanager.com/ns.html?id=GTM-KTT6ZRZ","text/html; charset=UTF-8","200","OK","1","0"
"https://onelink.to/dtspecials","","307","Temporary Redirect","1","8"
"https://deltaco.wgiftcard.com/rbc/deltaco","","0","Bloqué par robots.txt","1","86"
"https://deltaco.wgiftcard.com/responsive/landing_responsive/landing/deltaco","","0","Bloqué par robots.txt","1","172"
"http://www.deltacofranchise.com/","text/plain; charset=utf-8","301","Moved Permanently","1","174"
"https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css","text/css; charset=utf-8","200","OK","1","0"
"https://www.instagram.com/deltaco","text/html; charset=""utf-8""","200","OK","1","2"
"https://instagram.com/deltaco/","text/html; charset=""utf-8""","301","Moved Permanently","1","86"
"https://order.deltaco.com/","text/html; charset=UTF-8","403","Forbidden","1","282"
"https://drive-widget.cdn4dd.com/prod/latest/widgets/24025/widget.js","text/javascript","200","OK","1","0"
"https://www.facebook.com/deltaco","text/html; charset=""utf-8""","200","OK","1","88"
"https://locations.deltaco.com/","text/html; charset=utf-8","200","OK","1","258"
"http://www.deltacogiftcards.com/","text/html; charset=utf-8","301","Moved Permanently","2","4"
"https://globalprivacycontrol.org/orgs","text/html; charset=utf-8","200","OK","2","2"
"https://www.usa.gov/optout-instructions","text/html","200","OK","2","2"
"http://order.deltaco.com/","text/html; charset=UTF-8","403","Forbidden","2","2"
"https://cdn.jsdelivr.net/jquery.responsive-tabs/1.5.0/jquery.responsiveTabs.min.js","application/javascript; charset=utf-8","200","OK","2","0"
"https://deltacofranchise.com/","text/html; charset=UTF-8","200","OK","2","2"
"https://www.servicecheck.net/ContactUs/?AuthKey=B259C5882\2\AAAAEADpy\15\jknhG\2\p81auduVGvf1t\2\LPs0od\15\M\P20&OptionID=134","","0","Expiration du délai de connexion","2","2"
"https://www.servicecheck.net/ContactUs/?AuthKey=B259C5882\2\AAAAEADpy\15\jknhG\2\p81auduVGvf1t\2\LPs0od\15\M\P20&OptionID=129","","0","Expiration du délai de connexion","2","2"
"https://www.servicecheck.net/ContactUs/?AuthKey=B259C5882\2\AAAAEADpy\15\jknhG\2\p81auduVGvf1t\2\LPs0od\15\M\P20&OptionID=136","","0","Expiration du délai de connexion","2","2"
"https://www.servicecheck.net/ContactUs/?AuthKey=B259C5882\2\AAAAEADpy\15\jknhG\2\p81auduVGvf1t\2\LPs0od\15\M\P20&OptionID=135","","0","Expiration du délai de connexion","2","2"
"https://www.servicecheck.net/ContactUs/?AuthKey=B259C5882\2\AAAAEADpy\15\jknhG\2\p81auduVGvf1t\2\LPs0od\15\M\P20&OptionID=130","","0","Expiration du délai de connexion","2","2"
"https://10best.usatoday.com/awards/del-taco/","text/html; charset=utf-8","200","OK","2","4"
"https://code.jquery.com/ui/1.14.1/jquery-ui.min.js","application/javascript; charset=utf-8","200","OK","2","0"
"https://www.ezcater.com/brand/pvt/del-taco","text/html; charset=UTF-8","403","Forbidden","2","4"
"https://www.trejostacos.com/","text/html; charset=UTF-8","403","Forbidden","3","2"
"http://www.order.deltaco.com/","","0","Échec de la recherche DNS","3","0"
"https://locations.deltaco.com/search","text/html; charset=utf-8","301","Moved Permanently","3","0"
"https://adssettings.google.com/authenticated?hl=en","application/binary","302","Found","3","0"
"https://tools.google.com/dlpage/gaoptout?_sm_au_=iVVtFnTDfJTt1nWFKNKNcK38H6pC0","text/html; charset=utf-8","200","OK","3","0"
"https://allaboutdnt.com/","text/html; charset=UTF-8","301","Moved Permanently","3","0"
"https://10best.usatoday.com/awards/travel/best-fast-food-restaurant-2024/","text/html; charset=utf-8","404","Not Found","3","8"
"https://code.jquery.com/ui/1.10.3/jquery-ui.js","application/javascript; charset=utf-8","200","OK","3","0"
"http://deltacofranchise.com/","text/plain; charset=utf-8","301","Moved Permanently","3","2"
"https://nam02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.servicecheck.net%2FContactUs%2Flocation-collect%2Fcategory%3FAuthKey%3DB259C5882%5C2%5CAAAAEADpy%5C15%5CjknhG%5C2%5Cp81auduVGvf1t%5C2%5CLPs0od%5C15%5CM%5CP20%26OptionID%3D129&data=04|01|kprice%40deltaco.com|8ef304a5c6a54e48615708da1272cbbc|f76d5a76fc8045c1aae590f869e247e7|1|1|637842581518302297|Unknown|TWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D|0&sdata=FY3nE1UsVz1ccuvnTggKBGObiDBrTUBx2CifsktYVtE%3D&reserved=0","text/html; charset=utf-8","302","Found","3","2"
