"Adresse","Occurrences","H1-1","Longueur du H1-1","H1-2","Longueur du H1-2","Indexabilité","Statut d'indexabilité"
"https://vintagefrenchart.com/produit/lot-chaise-design-mobilor-herbst/","1","Lot de 5 Chaises Design René HERBST par Mobilor","47","","0","Indexable",""
"https://vintagefrenchart.com/produit/chaise-scandinave-fanett/","1","Chaises scandinaves Fanett d’Ilmari Tapiovaara","46","","0","Indexable",""
"https://vintagefrenchart.com/produit/franz-xavier-bergmann-satyre-bacchante-sujets-bronze-erotique/","1","Franz Xavier BERGMANN : Bronze Satyre et Bacchante sujets « érotique »","70","","0","Indexable",""
"https://vintagefrenchart.com/produit/sculpture-buste-terre-cuite-hauchecorne/","1","G. Hauchecorne : Sculpture buste terre cuite signé","50","","0","Indexable",""
"https://vintagefrenchart.com/produit/canif-couteau-de-poche-jean-jaures/","1","Canif couteau de poche | Jean JAURES","36","","0","Indexable",""
"https://vintagefrenchart.com/produit/serre-livres-art-deco-1930/","1","Serre livres Art Déco 1930","26","","0","Indexable",""
"https://vintagefrenchart.com/produit/coupe-1900-edouard-stellmacher/","1","Coupe 1900 Edouard STELLMACHER","30","","0","Indexable",""
"https://vintagefrenchart.com/produit/vase-verre-emaille-bleu-cobalt-epoque-xixeme/","1","Vase verre émaillé bleu cobalt – Epoque XIXème","46","","0","Indexable",""
"https://vintagefrenchart.com/produit/cendrier-jacques-adnet/","1","Cendrier sur pied Jacques Adnet","31","","0","Indexable",""
"https://vintagefrenchart.com/categorie-produit/objets-dart-et-decoration/page/2/","0","","0","","0","Indexable",""
"https://vintagefrenchart.com/my-account/lost-password/","1","My account","10","","0","Non indexable","noindex"
"https://vintagefrenchart.com/produit/dior-foulard-vintage-soie/","1","DIOR | foulard vintage en soie de 1970","38","","0","Indexable",""
"https://vintagefrenchart.com/produit/hermes-foulard-vintage-soie/","1","HERMÈS foulard vintage en soie de 1965","38","","0","Indexable",""
"https://vintagefrenchart.com/produit/valentino-flacon-de-parfum-geant-brocante-en-ligne/","2","Valentino Flacon de parfum géant","32","Valentino Flacon de parfum Géant","32","Indexable",""
"https://vintagefrenchart.com/produit/omega-seamaster-automatic-montre-collection-1960/","1","Montre de collection Omega Seamaster Automatic 1960","51","","0","Indexable",""
"https://vintagefrenchart.com/produit/montre-de-collection-jaeger-lecoultre-montre-de-poche/","1","Jaeger-LeCoultre (1930) : Montre à gousset de collection","56","","0","Indexable",""
"https://vintagefrenchart.com/produit/brocante-en-ligne-montre-vintage-sicura/","1","Montre vintage SICURA","21","","0","Indexable",""
"https://vintagefrenchart.com/produit/coiffeuse-secretaire-vintage-scandinave-annees-60/","1","« Carina » : Coiffeuse / secrétaire vintage scandinave années 60","64","","0","Indexable",""
"https://vintagefrenchart.com/produit/gueridon-vintage-table-appoint-design-scandinave-annee-60/","1","Guéridon vintage et table d’appoint | design scandinave | année 60","66","","0","Indexable",""
