"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Title 2","Longueur du Title 2","Largeur en pixels du Title 2","Meta Description 1","Longueur de la Meta Description 1","Largeur en pixels de la Meta Description 1","Meta Keywords 1","Longueur des Meta Keywords 1","H1-1","Longueur du H1-1","H1-2","Longueur du H1-2","H2-1","Longueur du H2-1","H2-2","Longueur du H2-2","Meta Robots 1","Balise X-Robots 1","Meta Refresh 1","Élément de lien en version canonique 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Élément de lien amphtml","Taille (octets)","Transféré (octets)","Total transféré (en octets)","CO2 (mg)","Empreinte carbone","Nombre de mots","Nombre de phrases","Moyenne de mots par phrase","Score de lisibilité de Flesch","Lisibilité","Ratio texte","Crawl profondeur","Profondeur du dossier","Link Score","Liens entrants","Liens entrants uniques","Liens entrants JS uniques","% du total","Liens sortants","Liens sortants uniques","Liens sortants JS uniques","Liens sortants externes","Liens sortants externes uniques","Liens sortants JS externes uniques","Quasi-doublon le plus proche","Nombre de quasi-doublons","Erreurs d'orthographe","Erreurs de grammaire","Hachage","Temps de réponse","Last Modified","URL de redirection","Type de redirection","Cookies","Language","Version HTTP","Lien alternate mobile","Adresse sémantiquement similaire la plus proche","Score de similarité sémantique","Nbre sémantiquement similaires","Score de pertinence sémantique","Adresse codée en URL","Horodatage du crawl"
"https://ofreropizza.com/","text/html; charset=UTF-8","200","OK","Indexable","","Pizzeria Toulouse | livraison pizza Toulouse | Restaurant halal","63","549","Image avec Titre et Description – Full Width","44","391","Pizzeria au feu de bois et restaurant 100 % halal à Toulouse. Service de livraison de pizza rapide. Promo en ligne lundi et mardi.","130","776","","0","HORAIRES D’OUVERTURE","20","LE GOÛT AUTHENTIQUE DU FEU DE BOIS","34","Une notoriété acquise en cinq ans d’existence dans la vente de pizza à emporter à Toulouse","90","Restauration rapide Toulouse chez O’frero : un concept innovant et raffiné","74","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://ofreropizza.com/","","","","","","239247","57425","57425","21,998","","1828","254","7,197","73,556","Assez facile","4,787","0","0","","552","159","0","94,640","36","18","0","2","2","0","","","","","daf57121831fba2a1d811b515a3dcdf1","0,133","Thu, 26 Feb 2026 08:55:51 GMT","","","","fr-FR","1.1","","","","","","https://ofreropizza.com/","2026-02-26 15:14:31"
"https://ofreropizza.com/wp-content/uploads/2024/09/2788488.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","278420","278420","278420","106,657","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,122","Wed, 11 Sep 2024 09:35:19 GMT","","","","","1.1","","","","","","https://ofreropizza.com/wp-content/uploads/2024/09/2788488.jpg","2026-02-26 15:14:33"
"https://ofreropizza.com/wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.min.js?ver=10.4.3","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","1045","1045","1045","0,400","","0","","","","","0,000","1","6","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,298","Thu, 25 Dec 2025 11:35:46 GMT","","","","","1.1","","","","","","https://ofreropizza.com/wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.min.js?ver=10.4.3","2026-02-26 15:14:33"
"https://ofreropizza.com/wp-content/uploads/2024/09/ingreds.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","26876","26876","26876","10,296","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,306","Mon, 16 Sep 2024 07:09:03 GMT","","","","","1.1","","","","","","https://ofreropizza.com/wp-content/uploads/2024/09/ingreds.png","2026-02-26 15:14:33"
"https://ofreropizza.com/wp-content/uploads/2024/09/logo-ofrero-blanc-1.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","95783","95783","95783","36,693","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,319","Tue, 24 Sep 2024 08:55:21 GMT","","","","","1.1","","","","","","https://ofreropizza.com/wp-content/uploads/2024/09/logo-ofrero-blanc-1.png","2026-02-26 15:14:33"
"https://ofreropizza.com/wp-content/plugins/google-site-kit/dist/assets/js/googlesitekit-events-provider-wpforms-ed443a3a3d45126a22ce.js","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","1784","1784","1784","0,683","","0","","","","","0,000","1","6","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,270","Thu, 25 Dec 2025 11:35:18 GMT","","","","","1.1","","","","","","https://ofreropizza.com/wp-content/plugins/google-site-kit/dist/assets/js/googlesitekit-events-provider-wpforms-ed443a3a3d45126a22ce.js","2026-02-26 15:14:33"
"https://ofreropizza.com/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min.js?ver=2.1.4-wc.10.4.3","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","833","833","833","0,319","","0","","","","","0,000","1","6","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,300","Thu, 25 Dec 2025 11:35:46 GMT","","","","","1.1","","","","","","https://ofreropizza.com/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min.js?ver=2.1.4-wc.10.4.3","2026-02-26 15:14:33"
"https://ofreropizza.com/wp-content/cache/perfmatters/ofreropizza.com/minify/c2dfaa09a4b5.scripts.min.js?ver=4.9.7","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","964","964","964","0,369","","0","","","","","0,000","1","5","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,294","Fri, 18 Oct 2024 12:27:24 GMT","","","","","1.1","","","","","","https://ofreropizza.com/wp-content/cache/perfmatters/ofreropizza.com/minify/c2dfaa09a4b5.scripts.min.js?ver=4.9.7","2026-02-26 15:14:33"
"https://ofreropizza.com/wp-includes/css/dashicons.min.css?ver=6.9.1","text/css","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","2","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,285","Thu, 25 Dec 2025 11:32:17 GMT","","","","","1.1","","","","","","https://ofreropizza.com/wp-includes/css/dashicons.min.css?ver=6.9.1","2026-02-26 15:14:33"
"https://ofreropizza.com/wp-admin/js/color-picker.min.js?ver=4.10.1","","0","Bloqué par robots.txt","Non indexable","Bloqué par robots.txt","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","2","","0","0","0","0,000","0","0","0","0","0","0","","","","","","","","","","","","None","","","","","","https://ofreropizza.com/wp-admin/js/color-picker.min.js?ver=4.10.1","2026-02-26 15:14:34"
