"Adresse","Type de contenu","Code HTTP","Statut","Crawl profondeur","Liens entrants"
"https://mobile.twitter.com/quickfrance_","text/html; charset=utf-8","302","Found","1","410"
"https://www.tiktok.com/@quick.france","text/html; charset=utf-8","200","OK","1","411"
"https://fr-fr.facebook.com/Quick/","text/html; charset=""utf-8""","200","OK","1","410"
"https://www.mangerbouger.fr/","text/html; charset=UTF-8","200","OK","1","221"
"https://assets.quick.fr/Fiches_produits_relatives_aux_qualites_et_caracteristiques_environnementales_1_c45964618c.pdf","application/pdf","200","OK","1","205"
"https://www.instagram.com/quick.france/?hl=fr","text/html; charset=""utf-8""","200","OK","1","410"
"https://www.youtube.com/playlist?list=PLJ5s2hh9Qa6beB7ztQ-Cq8O3UTURhJ9xV","text/html; charset=utf-8","200","OK","1","410"
"https://www.linkedin.com/company/quick/","text/html; charset=utf-8","200","OK","1","410"
"https://quick230.zendesk.com/hc/fr/requests/new?ticket_form_id=14294636290716","text/html; charset=UTF-8","403","Forbidden","2","1"
"https://quick230.zendesk.com/hc/fr/requests/new?ticket_form_id=13133855811996","text/html; charset=UTF-8","403","Forbidden","2","1"
"https://quick230.zendesk.com/hc/fr/requests/new?ticket_form_id=14294687245724","text/html; charset=UTF-8","403","Forbidden","2","1"
"https://quick230.zendesk.com/hc/fr/requests/new?ticket_form_id=14088947371420","text/html; charset=UTF-8","403","Forbidden","2","1"
"https://presence.topo.cx/SurveyServer/s/presence/QUICK/questionnaire.htm","text/html","500","Internal Server Error","2","1"
"https://quick230.zendesk.com/hc/fr/requests/new?ticket_form_id=14294432040348","text/html; charset=UTF-8","403","Forbidden","2","1"
"https://quick230.zendesk.com/hc/fr/requests/new?ticket_form_id=14295525274652","text/html; charset=UTF-8","403","Forbidden","2","1"
"https://play.google.com/store/apps/details?id=be.lvlp.Quick","text/html; charset=utf-8","200","OK","2","1"
"https://apps.apple.com/fr/app/quick-france/id359085347","text/html","200","OK","2","190"
"https://deliveroo.fr/fr/menu/metz/borny/quick-metz-borny","text/html; charset=UTF-8","403","Forbidden","4","1"
"https://play.google.com/store/apps/details?id=be.lvlp.Quick&hl=en_CA&gl=US","text/html; charset=utf-8","200","OK","4","189"
"https://www.order.store/store/quick-chelles/6QFnVIT_TpyeeBGC0uoi8g","","0","Bloqué par robots.txt","4","2"
"https://www.order.store/store/quick-metz-borny/qdA0pFE5RR2Zm5Gb7IA1bQ","","0","Bloqué par robots.txt","4","1"
"https://www.order.store/store/quick-douai-ferin/jh0IZmxNTd6VZfi_WiYcFw","","0","Bloqué par robots.txt","4","1"
"https://www.order.store/store/quick-pau-faculte/lNO_DkAMQN2gogzj9aDXJw","","0","Bloqué par robots.txt","4","2"
"https://www.order.store/store/quick-rosny-di-2/U4CPoCwhR6uiapvv52Oi7Q","","0","Bloqué par robots.txt","4","1"
"https://www.order.store/store/quick-nimes-capouchine/-zMBNGxjSB6ZYz19YqJBVQ","","0","Bloqué par robots.txt","4","1"
"https://deliveroo.fr/fr/menu/paris/rosny-sous-bois-nord/quick-rosny-di-2/","text/html; charset=UTF-8","403","Forbidden","4","1"
"https://deliveroo.fr/fr/menu/nimes/costieres/quick-nimes-capouchine","text/html; charset=UTF-8","403","Forbidden","4","1"
"https://www.order.store/store/quick-montreuil/HKQy4h3xSUqk5C-n_05UWg","","0","Bloqué par robots.txt","4","1"
"https://deliveroo.fr/fr/menu/dijon/gare-de-dijon/quick-dijon-gare","text/html; charset=UTF-8","403","Forbidden","4","1"
"https://www.order.store/store/quick-dijon-gare/mWmcf0EAWeOTwyaQymh_eA","","0","Bloqué par robots.txt","4","1"
"https://deliveroo.fr/fr/menu/pau/pau-nord/quick-pau-faculte?day=today&time=1200","text/html; charset=utf-8","200","OK","4","2"
"https://deliveroo.fr/fr/menu/lille/lille-sud/quick-lillenium","text/html; charset=UTF-8","403","Forbidden","4","1"
