"Adresse","Type de contenu","Taille (octets)","Liens entrants IMG","Indexabilité","Statut d'indexabilité","Dimensions"
"https://www.quick.fr/mealImages/products/list/product_733.jpg","image/jpeg","8582","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_1167.jpg","image/jpeg","6081","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_1168.jpg","image/jpeg","7306","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_741.jpg","image/jpeg","8012","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_732.jpg","image/jpeg","8629","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_740.jpg","image/jpeg","8220","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_767.jpg","image/jpeg","8644","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_766.jpg","image/jpeg","8675","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_768.jpg","image/jpeg","7717","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_771.jpg","image/jpeg","7823","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_1234.jpg","image/jpeg","13133","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_769.jpg","image/jpeg","9372","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_765.jpg","image/jpeg","13825","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_770.jpg","image/jpeg","11627","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_772.jpg","image/jpeg","8219","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_1162.png","image/png","50706","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_788.png","image/png","106163","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_832.png","image/png","162859","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_1233.jpg","image/jpeg","12658","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_791.png","image/png","174173","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_1163.png","image/png","50287","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_790.png","image/png","201022","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_793.png","image/png","99258","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_795.png","image/png","193304","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_1127.png","image/png","69845","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_831.png","image/png","149009","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_787.png","image/png","113080","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_792.png","image/png","104058","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_794.png","image/png","180895","1","Indexable","",""
"https://www.quick.fr/mealImages/menus/list/menu_582.jpg","image/jpeg","14410","1","Indexable","",""
"https://www.quick.fr/mealImages/menus/list/menu_912.jpg","image/jpeg","15232","1","Indexable","",""
"https://www.quick.fr/mealImages/menus/list/menu_589.jpg","image/jpeg","15224","1","Indexable","",""
"https://www.quick.fr/mealImages/menus/list/menu_603.jpg","image/jpeg","11775","1","Indexable","",""
"https://www.quick.fr/mealImages/menus/list/menu_593.jpg","image/jpeg","15953","1","Indexable","",""
"https://www.quick.fr/mealImages/menus/list/menu_939.jpg","image/jpeg","17779","1","Indexable","",""
"https://www.quick.fr/mealImages/menus/list/menu_607.jpg","image/jpeg","12515","1","Indexable","",""
"https://www.quick.fr/mealImages/menus/list/menu_983.jpg","image/jpeg","25645","1","Indexable","",""
"https://www.quick.fr/mealImages/menus/list/menu_550.jpg","image/jpeg","17600","1","Indexable","",""
"https://www.quick.fr/mealImages/menus/list/menu_548.jpg","image/jpeg","15301","1","Indexable","",""
"https://www.quick.fr/mealImages/menus/list/menu_931.jpg","image/jpeg","15020","1","Indexable","",""
"https://www.quick.fr/mealImages/menus/list/menu_965.jpg","image/jpeg","12866","1","Indexable","",""
"https://www.quick.fr/mealImages/menus/list/menu_587.jpg","image/jpeg","15689","1","Indexable","",""
"https://www.quick.fr/mealImages/menus/list/menu_981.jpg","image/jpeg","25276","2","Indexable","",""
"https://www.quick.fr/mealImages/menus/list/menu_544.jpg","image/jpeg","15634","1","Indexable","",""
"https://www.quick.fr/mealImages/menus/list/menu_963.jpg","image/jpeg","12530","1","Indexable","",""
"https://www.quick.fr/mealImages/menus/list/menu_945.jpg","image/jpeg","15735","1","Indexable","",""
"https://www.quick.fr/mealImages/menus/list/menu_580.jpg","image/jpeg","15025","1","Indexable","",""
"https://www.quick.fr/mealImages/menus/list/menu_601.jpg","image/jpeg","12470","1","Indexable","",""
"https://www.quick.fr/mealImages/menus/list/menu_577.jpg","image/jpeg","13659","1","Indexable","",""
"https://www.quick.fr/mealImages/menus/list/menu_943.jpg","image/jpeg","15951","1","Indexable","",""
"https://www.quick.fr/mealImages/menus/list/menu_545.jpg","image/jpeg","13655","1","Indexable","",""
"https://www.quick.fr/mealImages/menus/list/menu_863.jpg","image/jpeg","15668","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_825.jpg","image/jpeg","6318","1","Indexable","",""
"https://www.quick.fr/mealImages/menus/list/menu_941.jpg","image/jpeg","18233","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_808.jpg","image/jpeg","7101","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_796.jpg","image/jpeg","4383","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_1061.jpg","image/jpeg","13736","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_804.jpg","image/jpeg","6211","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_824.jpg","image/jpeg","4625","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_802.jpg","image/jpeg","6562","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_1135.jpg","image/jpeg","6548","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_862.jpg","image/jpeg","7780","1","Indexable","",""
